congregation_name,num_unassigned,unassigned_addresses,cities,has_coords,sample_lat,sample_lon
St Pauls Church,6,"UNASSIGNED, WEST POINT 23181",WEST POINT,6,37.538384,-76.797358
St Johns Episcopal Church,5,"UNASSIGNED, WEST POINT 23181",WEST POINT,5,37.533466,-76.797114
