congregation_name,property_count,address_status,scity,scounty,szip,lat,lon,has_shared_address,shared_addresses,shared_cities,num_shared_addresses,has_unassigned,num_unassigned,unassigned_addresses,unique_addresses,unique_coords,avg_data_completeness,min_data_completeness,max_data_completeness
St Johns Episcopal Church,12,Has unassigned addresses,ARLINGTON,ARLINGTON,22204,38.862425,-77.12766,FALSE,None,NA,0,TRUE,5,"UNASSIGNED, WEST POINT 23181",5,12,4.916666666666667,4,5
St Pauls Church,7,Has unassigned addresses,WEST POINT,KING-WILLIAM,23181,37.538384,-76.797358,FALSE,None,NA,0,TRUE,6,"UNASSIGNED, WEST POINT 23181",2,7,4.285714285714286,4,6
