congregation_name,num_parcels,total_acres,total_land_value,has_any_qct,has_any_dda,any_developable,all_developable,best_data_completeness,worst_data_completeness,addresses,cities,attendance_2023,members_2023
Piedmont/Bromfield Parish,2,0.8747199999999999,117000,FALSE,FALSE,FALSE,FALSE,4,4,"214 CHURCH ST, MADISON 22727; 206 CHURCH ST, MADISON 22727",MADISON,29,75
St Stephen & the Good Shepherd,2,6.453549999999999,116900,FALSE,FALSE,FALSE,TRUE,3,3,"7078 ROCKY BAR RD, ELKTON 22827; 7066 ROCKY BAR RD, ELKTON 22827",ELKTON,0,28
Church of the Good Shepherd,2,1.4465,102500,FALSE,FALSE,TRUE,FALSE,5,5,"27 GOOD SHEPHERD RD, BLUEMONT 20135; BLUEMONT 20135",BLUEMONT,18,30
Little Fork Episcopal Church,2,17.04059,0,FALSE,FALSE,TRUE,FALSE,5,4,"16471 OAK SHADE RD, RIXEYVILLE 22737; OAK SHADE RD, RIXEYVILLE 22737",RIXEYVILLE,25,63
St Bartholomews Episcopal Church,1,5.08094,501000,FALSE,FALSE,TRUE,TRUE,5,5,"10627 PATTERSON AVE, HENRICO 23238",HENRICO,0,118
St Francis Episcopal Church,1,9.4943,491000,FALSE,FALSE,TRUE,TRUE,4,4,"1484 HOCKETT RD, MANAKIN SABOT 23103",MANAKIN SABOT,20,23
St John the Baptist Church,1,7.0976,378100,FALSE,FALSE,TRUE,TRUE,5,5,"4712 DICK WOODS RD, CHARLOTTESVILLE 22903",CHARLOTTESVILLE,18,44
Church of Our Redeemer,1,1.13211,284100,FALSE,FALSE,TRUE,TRUE,5,5,"39518 LITTLE RIVER TPKE, ALDIE 20105",ALDIE,19,28
St Lukes Church,1,2.72661,200000,FALSE,FALSE,TRUE,TRUE,4,4,"403 NORTH RAPPAHANNOCK ST, REMINGTON 22734",REMINGTON,0,19
Grace Church,1,3.51675,153500,FALSE,TRUE,TRUE,TRUE,4,4,"606 HOWERTON RD, DUNNSVILLE 22454",DUNNSVILLE,0,14
Holy Cross Church,1,2.36224,136000,FALSE,FALSE,TRUE,TRUE,5,5,"2523 CRAIGS STORE RD, AFTON 22920",AFTON,28,36
Good Shepherd-of-the-Hills,1,3.11541,117600,FALSE,FALSE,TRUE,TRUE,5,5,"7420 MISSION HOME RD, FREE UNION 22940",FREE UNION,0,16
Grace Episcopal Church,1,5.5998,101200,FALSE,FALSE,TRUE,TRUE,4,4,BREMO BLUFF 23022,BREMO BLUFF,11,32
Grace Memorial Church,1,3.03144,100700,FALSE,FALSE,FALSE,FALSE,4,4,"7051 ORE BANK RD, PORT REPUBLIC 24471",PORT REPUBLIC,22,54
Calvary Episcopal Church,1,1.45109,83300,FALSE,FALSE,TRUE,TRUE,5,5,"13312 HANOVER COURTHOUSE RD, HANOVER 23069",HANOVER,23,98
St Georges Church,1,1.83201,70000,FALSE,FALSE,TRUE,TRUE,5,5,"3392 PINE GROVE RD, STANLEY 22851",STANLEY,0,7
Christ Church,1,0.90241,0,FALSE,FALSE,FALSE,FALSE,4,4,"14586 ALANTHUS RD, BRANDY STATION 22714",BRANDY STATION,24,41
Church of the Spirit,1,0,0,FALSE,FALSE,FALSE,TRUE,0,0,,,0,30
La Iglesia de San Jose,1,0,0,FALSE,FALSE,FALSE,TRUE,0,0,,,27,92
Olivet Church,1,0,0,FALSE,FALSE,FALSE,TRUE,0,0,,,15,19
St Francis Korean Church,1,0,0,FALSE,FALSE,FALSE,TRUE,0,0,,,0,30
